,TEMP_MAX,UMID_MED,UF,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,CD_ESTACAO,VL_LATITUDE,VL_LONGITUDE,TEMP_MIN
0,30.5,69.3,RN,2007-01-07,NATAL,59.0,27.6,1.0,A304,-5.83722221,-35.20805555,25.3
1,30.6,72.4,RN,2007-01-08,NATAL,56.0,27.3,0.0,A304,-5.83722221,-35.20805555,26.4
2,30.2,77.0,RN,2007-01-09,NATAL,62.0,27.2,14.4,A304,-5.83722221,-35.20805555,24.6
3,30.4,72.0,RN,2007-01-10,NATAL,61.0,27.7,0.0,A304,-5.83722221,-35.20805555,26.3
4,30.4,72.3,RN,2007-01-11,NATAL,63.0,27.8,0.0,A304,-5.83722221,-35.20805555,26.3
5,29.9,69.7,RN,2007-01-12,NATAL,58.0,27.4,0.0,A304,-5.83722221,-35.20805555,26.2
6,30.6,69.0,RN,2007-01-13,NATAL,58.0,27.4,0.0,A304,-5.83722221,-35.20805555,25.8
7,30.9,72.5,RN,2007-01-14,NATAL,64.0,27.8,0.0,A304,-5.83722221,-35.20805555,26.4
8,30.6,72.5,RN,2007-01-15,NATAL,62.0,27.8,0.0,A304,-5.83722221,-35.20805555,26.7
9,30.9,72.3,RN,2007-01-16,NATAL,62.0,28.0,0.0,A304,-5.83722221,-35.20805555,26.6
10,30.4,77.8,RN,2007-01-17,NATAL,64.0,27.2,11.0,A304,-5.83722221,-35.20805555,24.5
11,30.8,70.3,RN,2007-01-18,NATAL,54.0,27.5,26.0,A304,-5.83722221,-35.20805555,22.1
12,30.8,71.3,RN,2007-01-19,NATAL,62.0,27.7,0.0,A304,-5.83722221,-35.20805555,26.1
13,30.6,74.0,RN,2007-01-20,NATAL,64.0,27.9,0.0,A304,-5.83722221,-35.20805555,26.5
14,30.6,70.3,RN,2007-01-21,NATAL,60.0,27.9,0.0,A304,-5.83722221,-35.20805555,26.6
15,30.6,70.3,RN,2007-01-22,NATAL,59.0,27.2,0.0,A304,-5.83722221,-35.20805555,23.6
16,30.3,70.0,RN,2007-01-23,NATAL,60.0,27.5,0.0,A304,-5.83722221,-35.20805555,25.9
17,30.5,72.2,RN,2007-01-24,NATAL,62.0,27.5,0.0,A304,-5.83722221,-35.20805555,25.2
18,30.9,73.0,RN,2007-01-25,NATAL,64.0,27.9,0.0,A304,-5.83722221,-35.20805555,26.6
19,30.7,71.5,RN,2007-01-26,NATAL,61.0,27.9,0.0,A304,-5.83722221,-35.20805555,26.6
20,31.1,67.8,RN,2007-01-27,NATAL,56.0,27.8,0.2,A304,-5.83722221,-35.20805555,26.0
21,30.6,71.0,RN,2007-01-28,NATAL,60.0,27.6,0.0,A304,-5.83722221,-35.20805555,24.3
22,31.4,73.8,RN,2007-01-29,NATAL,63.0,27.9,0.0,A304,-5.83722221,-35.20805555,26.5
23,30.8,74.9,RN,2007-01-30,NATAL,64.0,28.0,0.0,A304,-5.83722221,-35.20805555,26.1
24,31.0,73.9,RN,2007-01-31,NATAL,63.0,27.9,0.0,A304,-5.83722221,-35.20805555,25.0
25,30.7,75.5,RN,2007-02-01,NATAL,62.0,27.7,0.0,A304,-5.83722221,-35.20805555,26.4
26,31.2,75.3,RN,2007-02-02,NATAL,61.0,27.7,0.0,A304,-5.83722221,-35.20805555,24.4
27,31.6,73.0,RN,2007-02-03,NATAL,60.0,27.9,0.0,A304,-5.83722221,-35.20805555,25.4
28,31.2,75.0,RN,2007-02-04,NATAL,63.0,28.1,0.0,A304,-5.83722221,-35.20805555,25.9
29,31.6,73.0,RN,2007-02-05,NATAL,63.0,28.5,0.2,A304,-5.83722221,-35.20805555,27.3
30,31.7,71.0,RN,2007-02-06,NATAL,58.0,28.4,0.0,A304,-5.83722221,-35.20805555,26.9
31,31.1,69.8,RN,2007-02-07,NATAL,55.0,28.0,0.0,A304,-5.83722221,-35.20805555,24.9
32,30.8,73.3,RN,2007-02-08,NATAL,62.0,27.9,2.8,A304,-5.83722221,-35.20805555,25.6
33,31.1,69.4,RN,2007-02-09,NATAL,58.0,28.3,0.0,A304,-5.83722221,-35.20805555,26.9
34,30.8,71.7,RN,2007-02-10,NATAL,61.0,27.7,0.0,A304,-5.83722221,-35.20805555,24.7
35,31.0,69.8,RN,2007-02-11,NATAL,57.0,28.1,0.4,A304,-5.83722221,-35.20805555,26.4
36,31.3,73.5,RN,2007-02-12,NATAL,61.0,28.0,0.0,A304,-5.83722221,-35.20805555,26.1
37,32.1,73.8,RN,2007-02-13,NATAL,53.0,28.2,0.0,A304,-5.83722221,-35.20805555,25.9
38,31.0,79.8,RN,2007-02-14,NATAL,64.0,27.0,12.0,A304,-5.83722221,-35.20805555,23.7
39,31.5,78.7,RN,2007-02-15,NATAL,61.0,27.1,1.0,A304,-5.83722221,-35.20805555,26.0
40,30.7,73.8,RN,2007-02-16,NATAL,62.0,27.8,17.0,A304,-5.83722221,-35.20805555,24.2
41,30.8,68.4,RN,2007-02-17,NATAL,53.0,28.0,0.0,A304,-5.83722221,-35.20805555,26.8
42,30.8,71.5,RN,2007-02-18,NATAL,57.0,27.3,0.0,A304,-5.83722221,-35.20805555,24.7
43,29.1,78.1,RN,2007-02-19,NATAL,67.0,26.7,2.2,A304,-5.83722221,-35.20805555,24.3
44,30.5,76.1,RN,2007-02-20,NATAL,54.0,26.6,6.0,A304,-5.83722221,-35.20805555,24.3
45,30.4,75.2,RN,2007-02-21,NATAL,59.0,26.5,0.0,A304,-5.83722221,-35.20805555,23.3
46,30.6,78.6,RN,2007-02-22,NATAL,63.0,26.8,5.2,A304,-5.83722221,-35.20805555,23.3
47,30.9,78.0,RN,2007-02-23,NATAL,64.0,27.4,10.6,A304,-5.83722221,-35.20805555,23.4
48,30.9,74.9,RN,2007-02-24,NATAL,59.0,27.4,0.8,A304,-5.83722221,-35.20805555,24.1
49,30.7,75.1,RN,2007-02-25,NATAL,62.0,27.6,0.2,A304,-5.83722221,-35.20805555,24.6
50,31.2,68.5,RN,2007-02-26,NATAL,59.0,28.5,0.0,A304,-5.83722221,-35.20805555,27.0
51,31.4,70.3,RN,2007-02-27,NATAL,59.0,28.3,0.0,A304,-5.83722221,-35.20805555,25.6
52,30.9,79.3,RN,2007-02-28,NATAL,64.0,26.7,2.8,A304,-5.83722221,-35.20805555,24.0
53,28.9,84.5,RN,2007-03-01,NATAL,68.0,25.5,51.2,A304,-5.83722221,-35.20805555,23.4
54,30.7,72.0,RN,2007-03-02,NATAL,56.0,27.3,79.2,A304,-5.83722221,-35.20805555,23.2
55,30.7,75.5,RN,2007-03-03,NATAL,60.0,27.0,2.8,A304,-5.83722221,-35.20805555,23.6
56,30.8,71.8,RN,2007-03-04,NATAL,59.0,27.6,0.2,A304,-5.83722221,-35.20805555,24.2
57,30.9,71.0,RN,2007-03-05,NATAL,57.0,27.6,0.0,A304,-5.83722221,-35.20805555,23.6
58,31.2,72.0,RN,2007-03-06,NATAL,61.0,27.9,0.0,A304,-5.83722221,-35.20805555,24.7
59,30.8,73.3,RN,2007-03-07,NATAL,62.0,27.7,0.6,A304,-5.83722221,-35.20805555,24.7
60,31.0,73.3,RN,2007-03-08,NATAL,60.0,27.5,0.4,A304,-5.83722221,-35.20805555,23.8
61,31.1,72.0,RN,2007-03-09,NATAL,57.0,27.7,0.0,A304,-5.83722221,-35.20805555,23.8
62,30.8,74.4,RN,2007-03-10,NATAL,62.0,27.5,0.0,A304,-5.83722221,-35.20805555,23.8
63,30.8,73.7,RN,2007-03-11,NATAL,63.0,28.1,6.0,A304,-5.83722221,-35.20805555,24.8
64,31.3,71.8,RN,2007-03-12,NATAL,57.0,28.2,0.2,A304,-5.83722221,-35.20805555,25.6
65,30.2,76.4,RN,2007-03-13,NATAL,62.0,27.2,3.4,A304,-5.83722221,-35.20805555,24.6
66,30.8,73.9,RN,2007-03-14,NATAL,62.0,27.8,2.6,A304,-5.83722221,-35.20805555,25.1
